scheme_name_master,fund_house_master,return_1yr_pct
ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,24.93
SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,24.56
Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,21.97
Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,21.3
SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,20.59
DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,20.2
HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,19.98
UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,17.43
Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,17.12
ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,16.67
