amfi_code,date,nav,daily_return_pct,cumulative_return_pct
100016,2022-01-03,520.4608,,0.0
100016,2022-01-04,515.0971,-1.030567527852244,-1.030567527852244
100016,2022-01-05,521.7239,1.2865147173222402,0.2426887865522253
100016,2022-01-06,515.788,-1.1377473794089044,-0.8978197781657982
100016,2022-01-07,515.1639,-0.1209993253041941,-1.0177327475959674
100016,2022-01-10,510.7136,-0.8638609964712218,-1.872801947812397
100016,2022-01-11,513.5542,0.5562021453902943,-1.327016367034739
100016,2022-01-12,512.3195,-0.240422529890727,-1.564248450603778
100016,2022-01-13,510.2445,-0.4050206950935719,-1.962933615749718
100016,2022-01-14,514.3636,0.807279647306336,-1.1715003320134645
100016,2022-01-17,514.7627,0.0775910270477853,-1.094818284105148
100016,2022-01-18,517.3803,0.5085061524465528,-0.5918793499913755
100016,2022-01-19,513.1866,-0.8105642986406814,-1.3976460859299933
100016,2022-01-20,507.1294,-1.180311411092971,-2.561460920784042
100016,2022-01-21,507.871,0.1462348662885748,-2.418971803448011
100016,2022-01-24,506.7062,-0.2293495789284949,-2.642773480730909
100016,2022-01-25,509.7762,0.6058737785328061,-2.052911573743865
100016,2022-01-26,509.68,-0.0188710261483371,-2.0713951944123288
100016,2022-01-27,510.8661,0.2327146444828232,-1.8435009898920216
100016,2022-01-28,503.8641,-1.3706135521617149,-3.18884726765204
100016,2022-01-31,512.5903,1.7318558714542132,-1.5122176348343563
100016,2022-02-01,512.1124,-0.0932323534019174,-1.6040401121467651
100016,2022-02-02,515.5386,0.6690328138900803,-0.9457388529549138
100016,2022-02-03,512.0153,-0.6834211832052794,-1.622696656501299
100016,2022-02-04,513.6729,0.3237403257285498,-1.3042096542140946
100016,2022-02-07,508.0666,-1.091414400097812,-2.381389722338345
100016,2022-02-08,510.3595,0.4512991013382983,-1.9408378114163292
100016,2022-02-09,509.0223,-0.2620113860915762,-2.1977639814564243
100016,2022-02-10,509.4161,0.0773639976087592,-2.1221002619217444
100016,2022-02-11,512.826,0.6693742109839196,-1.4669308428223449
100016,2022-02-14,507.5435,-1.0300764781816851,-2.481896811440931
100016,2022-02-15,504.7492,-0.5505537948964023,-3.018786429256526
100016,2022-02-16,507.0506,0.4559492120046915,-2.576601350188134
100016,2022-02-17,516.7872,1.9202422795673744,-0.7058360591229884
100016,2022-02-18,516.4246,-0.0701642765145726,-0.7755050908732963
100016,2022-02-21,519.3918,0.5745659676165582,-0.205394911586032
100016,2022-02-22,519.1698,-0.0427422997436588,-0.2480494208209172
100016,2022-02-23,528.4118,1.7801497698826108,1.5276846978677483
100016,2022-02-24,520.6004,-1.4782788726519611,0.0268223850864668
100016,2022-02-25,521.3038,0.1351132269587163,0.1619718526352231
100016,2022-02-28,514.1489,-1.3725010253138326,-1.2127522380167566
100016,2022-03-01,503.1674,-2.1358598647201354,-3.3227094144265945
100016,2022-03-02,504.7495,0.3144281604889443,-3.0187287880278246
100016,2022-03-03,505.6316,0.1747599551856771,-2.8492443619192787
100016,2022-03-04,504.6233,-0.1994139606780964,-3.0429765315658663
100016,2022-03-07,504.411,-0.0420709864169865,-3.0837673077395933
100016,2022-03-08,518.6513,2.823154134227845,-0.3476726777501659
100016,2022-03-09,517.7387,-0.1759563699155863,-0.5230172954427958
100016,2022-03-10,520.3416,0.5027439517270027,-0.0229027815351279
100016,2022-03-11,517.6372,-0.5197354968351497,-0.5425192444848737
100016,2022-03-14,519.2545,0.3124389050864096,-0.231775380585808
100016,2022-03-15,518.432,-0.1584001679330593,-0.3898084159267956
100016,2022-03-16,516.825,-0.3099731498055647,-0.6985732643073006
100016,2022-03-17,525.4534,1.6695012818652266,0.9592653279555384
100016,2022-03-18,531.2109,1.0957203816742034,2.0654965753424737
100016,2022-03-21,532.1264,0.1723420961429633,2.2413983915791524
100016,2022-03-22,521.6911,-1.961056621133628,0.2363866788814839
100016,2022-03-23,520.3011,-0.2664411947989831,-0.030684347409049
100016,2022-03-24,533.1283,2.465341703102286,2.433900881680229
100016,2022-03-25,532.3194,-0.1517270795791558,2.27848091537346
